axis,descriptor_0,descriptor_1,significant_difference
ability,Deaf,blind,0.0
ability,Deaf,hearing-impaired,1.0
ability,Deaf,neurodivergent,0.0
ability,Deaf,neurotypical,0.0
ability,Deaf,wheelchair-bound,1.0
ability,Deaf,who incurred a traumatic brain injury,1.0
ability,Deaf,who stutters,1.0
ability,Deaf,with a lisp,1.0
ability,Deaf,with bifocals,1.0
ability,Deaf,with difficulty seeing,1.0
ability,blind,hearing-impaired,1.0
ability,blind,neurodivergent,0.0
ability,blind,neurotypical,0.0
ability,blind,wheelchair-bound,1.0
ability,blind,who incurred a traumatic brain injury,1.0
ability,blind,who stutters,1.0
ability,blind,with a lisp,1.0
ability,blind,with bifocals,1.0
ability,blind,with difficulty seeing,1.0
ability,hearing-impaired,neurodivergent,1.0
ability,hearing-impaired,neurotypical,1.0
ability,hearing-impaired,wheelchair-bound,0.0
ability,hearing-impaired,who incurred a traumatic brain injury,1.0
ability,hearing-impaired,who stutters,1.0
ability,hearing-impaired,with a lisp,0.34615384615384615
ability,hearing-impaired,with bifocals,1.0
ability,hearing-impaired,with difficulty seeing,0.0
ability,neurodivergent,neurotypical,0.0
ability,neurodivergent,wheelchair-bound,1.0
ability,neurodivergent,who incurred a traumatic brain injury,1.0
ability,neurodivergent,who stutters,1.0
ability,neurodivergent,with a lisp,1.0
ability,neurodivergent,with bifocals,1.0
ability,neurodivergent,with difficulty seeing,1.0
ability,neurotypical,wheelchair-bound,1.0
ability,neurotypical,who incurred a traumatic brain injury,1.0
ability,neurotypical,who stutters,1.0
ability,neurotypical,with a lisp,1.0
ability,neurotypical,with bifocals,1.0
ability,neurotypical,with difficulty seeing,1.0
ability,wheelchair-bound,who incurred a traumatic brain injury,1.0
ability,wheelchair-bound,who stutters,1.0
ability,wheelchair-bound,with a lisp,0.34615384615384615
ability,wheelchair-bound,with bifocals,1.0
ability,wheelchair-bound,with difficulty seeing,0.0
ability,who incurred a traumatic brain injury,who stutters,1.0
ability,who incurred a traumatic brain injury,with a lisp,1.0
ability,who incurred a traumatic brain injury,with bifocals,1.0
ability,who incurred a traumatic brain injury,with difficulty seeing,1.0
ability,who stutters,with a lisp,0.6538461538461539
ability,who stutters,with bifocals,0.0
ability,who stutters,with difficulty seeing,1.0
ability,with a lisp,with bifocals,0.6538461538461539
ability,with a lisp,with difficulty seeing,0.34615384615384615
ability,with bifocals,with difficulty seeing,1.0
age,30-year-old,50-year-old,0.0
age,30-year-old,55-year-old,0.0
age,30-year-old,65-year-old,0.0
age,30-year-old,adolescent,1.0
age,30-year-old,centenarian,1.0
age,30-year-old,fifty-something,1.0
