axis,bucket,descriptor,descriptor_gender,descriptor_preference,noun,plural_noun,noun_gender,noun_phrase,plural_noun_phrase,noun_phrase_type
ability,(none),a wheelchair user,(none),reviewed,(none),(none),neutral,a wheelchair user,wheelchair users,fixed_phrase
ability,(none),who incurred a traumatic brain injury,(none),reviewed,boy,boys,male,a boy who incurred a traumatic brain injury,boys who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,bro,bros,male,a bro who incurred a traumatic brain injury,bros who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,brother,brothers,male,a brother who incurred a traumatic brain injury,brothers who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,child,children,neutral,a child who incurred a traumatic brain injury,children who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,dad,dads,male,a dad who incurred a traumatic brain injury,dads who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,daughter,daughters,female,a daughter who incurred a traumatic brain injury,daughters who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,father,fathers,male,a father who incurred a traumatic brain injury,fathers who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,girl,girls,female,a girl who incurred a traumatic brain injury,girls who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,grandfather,grandfathers,male,a grandfather who incurred a traumatic brain injury,grandfathers who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,grandma,grandmas,female,a grandma who incurred a traumatic brain injury,grandmas who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,grandmother,grandmothers,female,a grandmother who incurred a traumatic brain injury,grandmothers who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,grandpa,grandpas,male,a grandpa who incurred a traumatic brain injury,grandpas who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,grandparent,grandparents,neutral,a grandparent who incurred a traumatic brain injury,grandparents who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,guy,guys,male,a guy who incurred a traumatic brain injury,guys who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,husband,husbands,male,a husband who incurred a traumatic brain injury,husbands who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,individual,individuals,neutral,an individual who incurred a traumatic brain injury,individuals who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,kid,kids,neutral,a kid who incurred a traumatic brain injury,kids who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,lady,ladies,female,a lady who incurred a traumatic brain injury,ladies who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,man,men,male,a man who incurred a traumatic brain injury,men who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,mom,moms,female,a mom who incurred a traumatic brain injury,moms who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,mother,mothers,female,a mother who incurred a traumatic brain injury,mothers who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,parent,parents,neutral,a parent who incurred a traumatic brain injury,parents who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,person,people,neutral,a person who incurred a traumatic brain injury,people who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,sibling,siblings,neutral,a sibling who incurred a traumatic brain injury,siblings who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,sister,sisters,female,a sister who incurred a traumatic brain injury,sisters who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,son,sons,male,a son who incurred a traumatic brain injury,sons who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,spouse,spouses,neutral,a spouse who incurred a traumatic brain injury,spouses who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,veteran,veterans,neutral,a veteran who incurred a traumatic brain injury,veterans who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,wife,wives,female,a wife who incurred a traumatic brain injury,wives who incurred traumatic brain injuries,noun_descriptor
ability,(none),who incurred a traumatic brain injury,(none),reviewed,woman,women,female,a woman who incurred a traumatic brain injury,women who incurred traumatic brain injuries,noun_descriptor
ability,(none),who stutters,(none),reviewed,boy,boys,male,a boy who stutters,boys who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,bro,bros,male,a bro who stutters,bros who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,brother,brothers,male,a brother who stutters,brothers who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,child,children,neutral,a child who stutters,children who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,dad,dads,male,a dad who stutters,dads who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,daughter,daughters,female,a daughter who stutters,daughters who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,father,fathers,male,a father who stutters,fathers who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,girl,girls,female,a girl who stutters,girls who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,grandfather,grandfathers,male,a grandfather who stutters,grandfathers who stutter,noun_descriptor
ability,(none),who stutters,(none),reviewed,grandma,grandmas,female,a grandma who stutters,grandmas who stutter,noun_descriptor
